Class,age_calc,Prob_death,,,,,,
1,0.916667,0,,,,,,
1,2,1,,,,,,
1,4,0,,,,,,
1,6,0,,,,,,
1,11,0,,,,,,
1,13,0,,,,,,
1,16,0,,,,,,
1,17,0.25,,,,,,
1,18,0.166667,,,,,,
1,19,0.2,,,,,,
1,20,0,,,,,,
1,21,0.166667,,,,,,
1,22,0.222222,,,,,,
1,23,0.166667,,,,,,
1,24,0.4,,,,,,
1,25,0.2,,,,,,
1,26,0,,,,,,
1,27,0.333333,,,,,,
1,28,0.4,,,,,,
1,29,0.428571,,,,,,
1,30,0.555556,,,,,,
1,31,0.2,,,,,,
1,32,0,,,,,,
1,33,0.25,,,,,,
1,34,0,,,,,,
1,35,0,,,,,,
1,36,0.461538,,,,,,
1,37,0.625,,,,,,
1,38,0.5,,,,,,
1,39,0.352941,,,,,,
1,40,0.333333,,,,,,
1,41,0.75,,,,,,
1,42,0.5,,,,,,
1,43,0.4,,,,,,
1,44,0.333333,,,,,,
1,45,0.285714,,,,,,
1,46,0.727273,,,,,,
1,47,0.375,,,,,,
1,48,0.2,,,,,,
1,49,0.25,,,,,,
1,50,0.571429,,,,,,
1,51,0.75,,,,,,
1,52,0.166667,,,,,,
1,53,0,,,,,,
1,54,0.4,,,,,,
1,55,0.5,,,,,,
1,56,0.5,,,,,,
1,57,1,,,,,,
1,58,0.5,,,,,,
1,59,0.571429,,,,,,
1,60,0.25,,,,,,
1,61,0.75,,,,,,
1,62,0.5,,,,,,
1,63,1,,,,,,
1,64,0.6,,,,,,
1,65,1,,,,,,
1,67,1,,,,,,
1,70,1,,,,,,
1,71,1,,,,,,
2,0.583333,0,,,,,,
2,0.75,0,,,,,,
2,0.833333,0,,,,,,
2,1,0,,,,3,59,1
2,2,0,,,,3,60,1
2,3,0,,,,3,62,1
2,4,0,,,,3,63,0.5
2,6,0,,,,3,65,1
2,7,0,,,,3,66,1
2,8,0,,,,3,69,1
2,12,0,,,,3,74,1
2,13,0,,,,,,
2,14,1,,,,,,
2,15,0.5,,,,,,
2,16,1,,,,,,
2,17,0.6,,,,,,
2,18,0.875,,,,,,
2,19,0.7,,,,,,
2,20,0.571429,,,,,,
2,21,0.8,,,,,,
2,22,0.333333,,,,,,
2,23,0.615385,,,,,,
2,24,0.615385,,,,,,
2,25,0.785714,,,,,,
2,26,0.5,,,,,,
2,27,0.625,,,,,,
2,28,0.583333,,,,,,
2,29,0.5,,,,,,
2,30,0.75,,,,,,
2,31,0.5,,,,,,
2,32,0.8,,,,,,
2,33,0.666667,,,,,,
2,34,0.666667,,,,,,
2,35,0.571429,,,,,,
2,36,0.6,,,,,,
2,37,0.333333,,,,,,
2,38,1,,,,,,
2,39,0.6,,,,,,
2,40,0.5,,,,,,
2,41,0.5,,,,,,
2,42,1,,,,,,
2,44,1,,,,,,
2,45,0.6,,,,,,
2,46,0.333333,,,,,,
2,47,1,,,,,,
2,48,0.2,,,,,,
2,49,1,,,,,,
2,50,1,,,,,,
2,51,1,,,,,,
2,52,1,,,,,,
2,54,0.666667,,,,,,
2,55,1,,,,,,
2,56,0,,,,,,
2,57,1,,,,,,
2,58,0,,,,,,
2,59,0.5,,,,,,
2,60,1,,,,,,
2,61,1,,,,,,
2,62,0,,,,,,
2,63,1,,,,,,
2,65,1,,,,,,
2,71,1,,,,,,
3,NA,1,,,,,,
3,0.166667,0,,,,,,
3,0.333333,1,,,,,,
3,0.416667,0,,,,,,
3,0.583333,1,,,,,,
3,0.75,0,,,,,,
3,0.833333,0,,,,,,
3,1,0.428571,,,,,,
3,2,0.777778,,,,,,
3,3,0.5,,,,,,
3,4,0.333333,,,,,,
3,5,0.5,,,,,,
3,6,1,,,,,,
3,7,0.75,,,,,,
3,8,0.8,,,,,,
3,9,0.6,,,,,,
3,10,1,,,,,,
3,11,0.8,,,,,,
3,12,1,,,,,,
3,13,1,,,,,,
3,14,0.714286,,,,,,
3,15,0.666667,,,,,,
3,16,0.736842,,,,,,
3,17,0.85,,,,,,
3,18,0.65625,,,,,,
3,19,0.875,,,,,,
3,20,0.852941,,,,,,
3,21,0.775,,,,,,
3,22,0.765957,,,,,,
3,23,0.84,,,,,,
3,24,0.6,,,,,,
3,25,0.583333,,,,,,
3,26,0.724138,,,,,,
3,27,0.75,,,,,,
3,28,0.933333,,,,,,
3,29,0.615385,,,,,,
3,30,0.888889,,,,,,
3,31,0.615385,,,,,,
3,32,0.565217,,,,,,
3,33,0.916667,,,,,,
3,34,0.636364,,,,,,
3,35,1,,,,,,
3,36,0.714286,,,,,,
3,37,1,,,,,,
3,38,0.666667,,,,,,
3,39,0.625,,,,,,
3,40,1,,,,,,
3,41,1,,,,,,
3,42,1,,,,,,
3,43,1,,,,,,
3,44,0.833333,,,,,,
3,45,0.666667,,,,,,
3,46,1,,,,,,
3,47,0.5,,,,,,
3,48,1,,,,,,
3,49,1,,,,,,
3,50,1,,,,,,
3,51,1,,,,,,
3,53,1,,,,,,
3,54,1,,,,,,
3,55,1,,,,,,
3,58,1,,,,,,
